Team_Number_Id,TeamPoints,FieldGoals,X3PointShots,FreeThrows,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls
5,74,0.35,0.222,0.7,10,42,15,10,5,18,13
5,92,0.407,0.077,0.913,13,44,13,5,5,11,20
5,100,0.429,0.278,0.81,15,45,12,8,5,9,26
5,74,0.346,0.455,0.727,9,35,15,4,5,8,15
5,80,0.361,0.267,0.667,12,46,21,8,3,13,15
5,77,0.342,0.267,0.655,6,33,16,8,2,9,13
5,90,0.41,0.406,0.529,7,43,23,8,5,15,17
5,87,0.423,0.364,0.938,8,36,15,8,3,12,10
4,104,0.507,0.292,0.833,10,47,21,9,4,15,18
4,108,0.456,0.419,0.765,11,42,25,4,14,19,28
4,106,0.478,0.391,0.775,5,38,15,3,8,14,24
4,98,0.467,0.467,0.778,10,44,23,6,9,12,18
4,95,0.466,0.313,0.733,7,42,24,8,3,16,18
4,118,0.513,0.5,0.765,12,40,25,4,6,17,21
4,101,0.457,0.444,0.6,11,38,26,5,2,8,16
4,102,0.443,0.35,0.85,9,49,22,6,8,10,19
4,100,0.481,0.267,0.688,13,48,26,7,7,19,18
4,90,0.422,0.235,0.696,10,34,18,6,7,13,19
4,105,0.488,0.385,0.68,9,45,28,7,2,8,24
4,88,0.429,0.263,0.688,13,42,23,6,4,14,26
4,87,0.361,0.364,0.679,11,48,14,9,2,14,18
4,97,0.5,0.45,0.696,7,35,20,9,3,16,14
4,109,0.427,0.333,0.865,11,37,20,9,4,12,22
4,109,0.411,0.294,0.811,18,52,18,5,13,13,21
4,102,0.493,0.292,0.794,7,50,19,6,5,19,24
4,129,0.456,0.308,0.794,15,52,38,5,6,18,22
4,102,0.463,0.429,0.762,4,49,27,4,1,11,18
4,102,0.434,0.333,0.852,17,50,24,6,3,22,23
4,105,0.468,0.364,0.719,15,57,21,6,11,15,18
4,115,0.5,0.333,0.786,14,47,18,5,3,7,11
4,93,0.465,0.5,0.857,8,44,21,4,8,19,18
4,86,0.376,0.207,0.714,15,57,18,3,6,14,17
4,103,0.453,0.522,0.767,11,32,23,9,8,11,17
4,103,0.438,0.385,0.879,8,51,17,2,3,9,18
4,129,0.541,0.5,0.915,12,41,20,4,13,15,20
4,99,0.459,0.294,0.667,8,52,20,5,7,10,14
4,113,0.488,0.417,0.76,20,57,27,1,7,13,12
4,107,0.461,0.3,0.864,15,45,19,8,6,13,17
4,92,0.345,0.385,0.879,14,46,17,8,7,10,16
4,82,0.384,0.32,0.533,13,48,22,5,11,12,18
4,106,0.418,0.533,0.88,13,46,22,7,18,7,19
4,109,0.37,0.214,0.725,24,59,19,10,9,16,14
4,114,0.482,0.294,0.9,17,47,27,10,12,17,13
4,77,0.333,0.3,0.75,16,43,17,5,5,15,20
4,86,0.386,0.385,0.632,11,46,16,9,8,16,15
4,95,0.398,0.235,0.875,22,51,24,5,5,12,18
4,114,0.488,0.296,0.727,11,43,25,6,5,14,20
4,99,0.43,0.481,0.75,8,33,18,10,5,12,21
4,119,0.539,0.52,0.833,8,36,28,12,6,7,14
4,99,0.463,0.346,0.8,7,43,25,5,5,13,21
4,94,0.375,0.5,0.813,11,40,12,5,9,8,16
4,104,0.474,0.316,0.813,8,46,19,7,8,10,16
4,102,0.487,0.563,0.85,15,47,22,8,5,21,18
4,84,0.356,0.292,0.789,14,43,15,5,10,9,16
4,113,0.429,0.276,0.913,19,61,19,6,6,21,18
4,118,0.413,0.24,0.813,17,49,26,9,6,11,21
4,93,0.414,0.222,0.63,12,49,20,6,3,11,18
4,90,0.348,0.32,0.769,18,60,16,3,5,12,17
4,107,0.512,0.455,0.846,8,45,18,6,4,11,7
4,98,0.481,0.364,0.889,7,35,27,11,1,15,11
4,104,0.525,0.35,0.867,5,33,26,8,3,7,21
4,113,0.457,0.391,0.769,13,47,29,10,3,8,23
4,91,0.423,0.313,0.909,13,43,16,2,7,20,23
4,112,0.483,0.5,0.875,14,47,27,5,3,17,14
4,87,0.355,0.308,0.781,18,62,20,4,7,18,16
4,86,0.442,0.176,0.652,9,43,24,6,11,12,17
4,96,0.385,0.29,0.813,22,53,24,5,5,9,24
4,86,0.31,0.385,0.733,17,51,18,2,1,11,17
4,97,0.423,0.31,0.733,10,47,20,5,7,16,16
4,108,0.46,0.28,0.808,12,48,26,4,3,10,15
4,84,0.36,0.217,0.895,14,44,20,5,3,11,25
4,105,0.507,0.333,0.897,7,44,20,6,6,20,24
4,91,0.438,0.455,0.786,9,44,18,7,2,15,13
4,104,0.46,0.417,0.7,8,58,24,6,2,18,16
4,91,0.378,0.469,0.737,4,36,18,4,6,10,25
4,100,0.446,0.31,0.708,9,33,20,5,3,11,24
4,103,0.415,0.417,0.893,9,52,22,6,4,12,23
4,108,0.532,0.321,0.882,13,47,32,4,7,12,21
4,91,0.429,0.286,0.792,8,45,22,2,1,11,11
4,98,0.451,0.188,0.724,6,46,21,5,7,6,20
4,116,0.608,0.522,0.824,2,31,26,4,6,8,16
4,111,0.512,0.353,0.864,12,51,28,8,5,12,16
4,91,0.419,0.192,0.649,12,40,18,11,3,20,21
4,88,0.388,0.235,0.857,19,44,18,9,5,10,15
4,94,0.447,0.407,0.714,9,45,28,7,2,16,22
4,103,0.43,0.462,0.742,12,41,25,9,4,15,16
4,89,0.385,0.261,0.765,15,51,17,10,2,11,11
4,114,0.444,0.346,0.694,13,48,20,8,5,10,20
4,113,0.5,0.4,0.765,9,46,26,7,8,7,18
4,91,0.403,0.292,0.846,7,50,14,11,9,21,12
6,90,0.457,0.375,0.85,11,33,22,5,2,19,15
6,114,0.394,0.2,0.879,20,52,18,8,4,9,18
6,82,0.365,0.429,0.786,13,41,18,5,3,14,19
6,100,0.417,0.375,0.85,7,30,6,8,4,12,22
6,110,0.476,0.261,0.727,6,42,25,5,3,8,14
6,118,0.494,0.481,0.833,12,45,26,3,5,9,13
6,122,0.506,0.348,0.757,8,40,22,5,5,11,21
6,127,0.544,0.613,0.769,12,47,39,12,2,13,14
6,97,0.43,0.345,0.826,9,42,18,7,8,15,15
6,90,0.446,0.389,0.692,10,38,23,7,5,16,21
6,78,0.36,0.222,0.783,9,41,13,12,4,19,21
6,93,0.432,0.188,0.69,11,46,24,4,6,18,28
6,106,0.519,0.375,0.727,12,44,30,14,9,12,23
6,113,0.514,0.3,0.816,7,32,23,13,2,9,18
6,109,0.526,0.438,0.625,9,44,20,4,6,9,20
6,111,0.534,0.286,0.711,7,40,22,5,5,19,17
6,90,0.457,0.278,0.808,6,33,19,8,1,17,16
6,105,0.488,0.45,0.667,15,48,28,7,2,13,21
6,110,0.478,0.36,0.682,20,55,25,10,5,13,17
6,105,0.494,0.346,0.857,12,31,27,4,5,11,17
6,94,0.365,0.321,0.767,15,48,20,5,4,14,20
6,114,0.494,0.364,0.783,11,40,22,6,6,6,19
6,97,0.458,0.375,0.706,8,43,28,10,5,10,14
6,98,0.451,0.267,0.762,10,33,24,3,0,8,17
6,95,0.403,0.375,0.828,11,44,22,7,4,16,16
6,105,0.605,0.5,0.6,4,33,34,2,4,14,19
6,125,0.524,0.5,0.806,12,38,24,11,6,17,23
6,91,0.444,0.231,0.636,11,37,16,8,4,15,15
6,98,0.413,0.267,0.923,8,37,19,10,5,9,14
6,80,0.378,0.172,0.765,10,46,25,4,5,17,15
6,101,0.44,0.419,0.667,11,42,23,10,2,18,24
6,80,0.341,0.258,0.875,13,49,19,5,5,12,16
6,91,0.379,0.267,0.7,13,46,16,8,5,7,23
6,90,0.407,0.32,0.706,12,38,26,6,3,12,14
6,92,0.388,0.367,0.682,13,43,23,8,1,11,13
6,93,0.415,0.345,0.789,13,37,16,9,4,15,18
6,94,0.407,0.304,0.739,14,45,13,8,1,14,14
6,84,0.423,0.344,0.583,6,41,18,2,6,14,18
6,100,0.439,0.371,0.75,16,42,16,7,1,19,21
6,109,0.474,0.3,0.722,12,38,14,8,3,9,15
6,126,0.554,0.435,0.774,12,44,23,9,3,19,30
6,108,0.456,0.444,0.72,20,54,20,5,4,12,19
6,106,0.519,0.208,0.68,15,45,24,15,4,13,12
