Team_Number_Id,TeamPoints,FieldGoals.,X3PointShots.,FreeThrows.,TotalRebounds,Assists,Steals,Blocks
10,125,0.518,0.484,0.846,43,31,8,5
10,109,0.514,0.417,0.833,36,24,10,8
10,114,0.532,0.355,0.864,35,33,12,5
10,114,0.566,0.478,0.818,41,30,8,7
10,110,0.432,0.267,0.87,49,30,6,12
10,108,0.487,0.429,0.833,33,20,5,3
10,103,0.407,0.278,0.905,50,22,6,7
10,117,0.543,0.3,0.821,50,25,8,6
10,93,0.42,0.462,0.722,40,21,10,5
10,124,0.526,0.419,0.786,43,29,8,9
10,75,0.405,0.158,0.75,36,17,7,9
10,106,0.452,0.4,0.909,46,28,8,6
10,91,0.418,0.4,0.9,41,24,9,7
10,81,0.407,0.294,0.667,51,21,4,9
10,107,0.547,0.5,1,31,26,10,7
10,112,0.494,0.346,0.75,42,28,9,6
10,117,0.539,0.464,0.889,45,31,10,7
10,111,0.494,0.276,0.875,40,27,9,5
10,106,0.446,0.31,0.958,39,29,6,5
10,120,0.544,0.455,0.636,42,31,3,0
10,117,0.522,0.406,0.667,41,27,9,7
10,79,0.349,0.263,0.875,39,14,7,3
11,116,0.472,0.441,0.81,51,25,6,3
11,114,0.472,0.34,0.591,38,20,7,3
11,101,0.422,0.319,0.909,42,29,5,4
11,116,0.453,0.37,0.75,51,28,6,6
11,121,0.45,0.316,0.76,49,25,7,5
11,112,0.415,0.319,0.864,53,18,11,4
11,102,0.404,0.295,0.813,37,21,9,4
11,116,0.477,0.436,0.882,45,24,11,5
11,116,0.471,0.378,0.69,46,19,14,3
11,99,0.444,0.405,0.667,38,20,10,3
11,104,0.439,0.412,0.478,43,20,8,3
11,113,0.462,0.333,0.829,35,22,10,2
11,113,0.444,0.297,0.776,43,17,8,2
11,114,0.506,0.371,0.821,40,17,5,5
11,102,0.446,0.333,0.824,38,20,10,7
11,120,0.473,0.373,0.813,53,28,6,5
11,123,0.556,0.485,0.81,40,16,7,7
11,109,0.514,0.387,0.808,35,16,8,6
11,130,0.5,0.463,0.735,48,26,5,7
11,104,0.436,0.289,0.697,42,15,9,7
11,126,0.494,0.468,0.759,37,25,1,4
11,100,0.398,0.286,0.909,48,19,10,5
11,120,0.482,0.368,0.867,50,24,6,2
11,119,0.506,0.429,0.813,42,18,7,3
11,96,0.43,0.273,0.76,40,15,15,2
11,105,0.424,0.302,0.833,41,21,11,5
11,123,0.448,0.388,0.867,40,24,11,5
11,122,0.528,0.515,0.853,37,25,11,7
11,110,0.476,0.35,0.667,47,22,9,5
